"","Title","Rating","TotalVotes","Genre1","Genre2","Genre3","MetaCritic","Budget","Runtime","�..CVotes10","CVotes09","CVotes08","CVotes07","CVotes06","CVotes05","CVotes04","CVotes03","CVotes02","CVotes01","CVotesMale","CVotesFemale","CVotesU18","CVotesU18M","CVotesU18F","CVotes1829","CVotes1829M","CVotes1829F","CVotes3044","CVotes3044M","CVotes3044F","CVotes45A","CVotes45AM","CVotes45AF","CVotes1000","CVotesUS","CVotesnUS","VotesM","VotesF","VotesU18","VotesU18M","VotesU18F","Votes1829","Votes1829M","Votes1829F","Votes3044","Votes3044M","Votes3044F","Votes45A","Votes45AM","Votes45AF","VotesIMDB","Votes1000","VotesUS","VotesnUS"
"1","12 Years a Slave (2013)",8.1,"496,092","Biography","Drama","History",96,"Budget:        $20,000,000              (estimated)","134 min",75556,126223,161460,83070,27231,9603,4021,2420,1785,4739," 313823"," 82012"," 1837"," 1363"," 457"," 200910"," 153669"," 45301"," 138762"," 112943"," 23895"," 29252"," 23072"," 5726"," 664"," 53328"," 224519"," 8.1"," 8.1"," 8.4"," 8.4"," 8.5"," 8.2"," 8.2"," 8.2"," 8.0"," 7.9"," 8.0"," 7.8"," 7.8"," 8.1"," 8.0"," 7.7"," 8.3"," 8.0"
"2","127 Hours (2010)",7.6,"297,075","Adventure","Biography","Drama",82,"Budget:        $18,000,000              (estimated)","94 min",28939,44110,98845,78451,28394,9403,3796,1930,1161,2059," 212866"," 44600"," 745"," 567"," 170"," 133336"," 106007"," 26152"," 102120"," 86609"," 14304"," 14895"," 12400"," 2261"," 649"," 38478"," 169745"," 7.6"," 7.6"," 7.9"," 7.9"," 7.9"," 7.7"," 7.8"," 7.7"," 7.5"," 7.5"," 7.5"," 7.3"," 7.3"," 7.5"," 7.6"," 7.0"," 7.7"," 7.6"
"3","50/50 (2011)",7.7,"283,935","Comedy","Drama","Romance",72,"Budget:        $8,000,000              (estimated)","100 min",28304,47501,99524,71485,24252,7545,2381,1109,634,1202," 188925"," 58348"," 506"," 348"," 153"," 132350"," 96269"," 34765"," 94745"," 75394"," 18163"," 12829"," 9912"," 2681"," 555"," 46947"," 147849"," 7.7"," 7.7"," 7.9"," 7.9"," 7.9"," 7.8"," 7.8"," 7.7"," 7.6"," 7.6"," 7.6"," 7.4"," 7.4"," 7.5"," 7.4"," 7.0"," 7.9"," 7.6"
"4","About Time (2013)",7.8,"225,412","Comedy","Drama","Fantasy",NA,"Budget:        $12,000,000              (estimated)","123 min",38556,43170,70850,45487,16542,5673,2210,1084,664,1182," 126718"," 58098"," 654"," 325"," 321"," 92940"," 57778"," 34126"," 67477"," 50212"," 16222"," 13973"," 10690"," 3026"," 475"," 20450"," 111670"," 7.8"," 7.9"," 8.2"," 8.1"," 8.3"," 8.0"," 8.0"," 8.0"," 7.6"," 7.6"," 7.7"," 7.6"," 7.5"," 7.8"," 7.7"," 6.9"," 7.8"," 7.7"
"5","Amour (2012)",7.9,"76,121","Drama","Romance","",94,"Budget:        $8,900,000              (estimated)","127 min",11093,15944,22942,14187,5945,2585,1188,710,534,995," 49808"," 16719"," 121"," 95"," 24"," 28593"," 20107"," 8167"," 28691"," 21990"," 6269"," 7425"," 5803"," 1490"," 391"," 7959"," 46138"," 7.8"," 7.9"," 8.6"," 8.7"," 8.5"," 8.0"," 8.0"," 7.9"," 7.7"," 7.7"," 7.9"," 7.9"," 7.8"," 8.1"," 6.6"," 7.2"," 7.9"," 7.8"
"6","Argo (2012)",7.7,"486,840","Action","Biography","Drama",86,"Budget:        $44,500,000              (estimated)","120 min",43875,89490,171495,115165,37332,12630,4992,2910,2020,6941," 334838"," 67910"," 971"," 795"," 162"," 178794"," 146371"," 30643"," 163795"," 136391"," 24948"," 36215"," 28817"," 6752"," 740"," 70110"," 229137"," 7.7"," 7.9"," 8.0"," 8.0"," 7.8"," 7.8"," 7.8"," 7.9"," 7.7"," 7.6"," 7.8"," 7.7"," 7.7"," 8.0"," 8.1"," 7.2"," 8.0"," 7.6"
"7","Arrival (2016)",8,"370,842","Drama","Mystery","Sci-Fi",81,"Budget:        $47,000,000              (estimated)","116 min",55533,87850,109536,65440,26913,10556,5057,3083,2194,4734," 237437"," 46272"," 1943"," 1544"," 376"," 126301"," 101741"," 23163"," 111985"," 95005"," 15227"," 24027"," 20118"," 3440"," 537"," 42062"," 163774"," 7.9"," 8.0"," 8.6"," 8.6"," 8.4"," 8.2"," 8.2"," 8.1"," 7.8"," 7.8"," 7.8"," 7.6"," 7.6"," 7.7"," 8.3"," 7.3"," 8.0"," 7.9"
"8","Beasts of No Nation (2015)",7.8,"51,781","Drama","War","",79,"Budget:        $6,000,000              (estimated)","137 min",5396,9364,19639,12164,3380,948,325,137,95,337," 37373"," 4422"," 210"," 188"," 19"," 20628"," 18200"," 2205"," 15846"," 14120"," 1500"," 3009"," 2541"," 409"," 224"," 7004"," 24596"," 7.8"," 7.8"," 8.2"," 8.2"," 8.0"," 7.9"," 7.9"," 7.9"," 7.6"," 7.6"," 7.7"," 7.6"," 7.6"," 7.7"," 8.2"," 7.2"," 7.9"," 7.7"
"9","Before Midnight (2013)",7.9,"106,553","Drama","Romance","",94,"Budget:        $3,000,000              (estimated)","109 min",16953,22109,31439,19251,8142,3412,1649,1033,826,1745," 67076"," 23823"," 208"," 138"," 66"," 43312"," 30016"," 12857"," 37072"," 28401"," 8189"," 7479"," 5891"," 1470"," 447"," 12382"," 59116"," 7.9"," 7.8"," 8.1"," 8.3"," 7.4"," 8.1"," 8.2"," 7.9"," 7.8"," 7.8"," 7.6"," 7.3"," 7.4"," 7.2"," 8.5"," 7.0"," 8.0"," 7.9"
"10","Big Hero 6 (2014)",7.8,"315,485","Animation","Action","Adventure",74,"Opening Weekend:         $56,215,889              (USA)      (7 November 2014)","",50311,61304,103726,65681,22389,6830,2251,1036,539,1439," 187383"," 58731"," 2446"," 1571"," 855"," 128237"," 91744"," 35122"," 84098"," 68040"," 14796"," 13974"," 11304"," 2400"," 525"," 36702"," 131818"," 7.7"," 8.2"," 8.2"," 8.0"," 8.7"," 7.9"," 7.8"," 8.3"," 7.7"," 7.6"," 8.0"," 7.6"," 7.6"," 7.9"," 7.9"," 7.2"," 7.9"," 7.7"
"11","Birdman or (The Unexpected Virtue of Ignorance) (2014)",7.8,"448,725","Comedy","Drama","",88,"Budget:        $18,000,000              (estimated)","119 min",60209,94476,121637,80828,38373,19161,10116,6750,5378,11807," 292808"," 63310"," 1891"," 1538"," 334"," 178850"," 142244"," 34666"," 129547"," 108049"," 19457"," 26016"," 21166"," 4329"," 656"," 52288"," 203731"," 7.8"," 7.5"," 8.5"," 8.6"," 7.9"," 8.0"," 8.1"," 7.7"," 7.6"," 7.6"," 7.3"," 7.2"," 7.3"," 7.0"," 7.8"," 7.1"," 7.9"," 7.7"
"12","Black Swan (2010)",8,"587,893","Drama","Thriller","",79,"Budget:        $13,000,000              (estimated)","108 min",93798,136615,174500,97826,40319,16993,9084,6065,3981,8726," 356707"," 143077"," 1112"," 583"," 516"," 244970"," 159567"," 82856"," 204465"," 156163"," 45352"," 35111"," 27022"," 7459"," 802"," 86552"," 306578"," 8.0"," 8.0"," 8.5"," 8.6"," 8.4"," 8.1"," 8.1"," 8.1"," 7.9"," 7.9"," 8.0"," 7.5"," 7.5"," 7.4"," 7.9"," 7.6"," 8.0"," 8.0"
"13","Boyhood (2014)",7.9,"290,327","Drama","","",100,"Budget:        $4,000,000              (estimated)","165 min",49673,62055,76838,52238,23789,10431,4906,3071,2248,5086," 183807"," 51558"," 1393"," 995"," 381"," 123006"," 92639"," 29076"," 81594"," 65261"," 15118"," 17881"," 13995"," 3567"," 559"," 36433"," 134679"," 8.0"," 7.7"," 8.1"," 8.1"," 8.0"," 8.1"," 8.1"," 7.8"," 7.8"," 7.8"," 7.6"," 7.7"," 7.7"," 7.7"," 8.2"," 7.2"," 8.0"," 7.9"
"14","Bridge of Spies (2015)",7.6,"223,756","Drama","History","Thriller",81,"Budget:        $40,000,000              (estimated)","142 min",15757,32840,83322,63800,19183,5178,1657,735,419,878," 152707"," 23978"," 846"," 732"," 104"," 76784"," 64810"," 11177"," 70780"," 61525"," 8196"," 18494"," 15504"," 2667"," 545"," 24273"," 105678"," 7.6"," 7.6"," 7.9"," 7.9"," 7.8"," 7.7"," 7.7"," 7.6"," 7.5"," 7.5"," 7.5"," 7.7"," 7.6"," 7.9"," 7.7"," 7.4"," 7.7"," 7.5"
"15","Captain America: Civil War (2016)",7.9,"431,555","Action","Adventure","Sci-Fi",75,"Budget:        $250,000,000              (estimated)","147 min",81893,90156,117188,79377,32782,12322,5095,2994,1989,7786," 264239"," 43818"," 3572"," 2865"," 683"," 148991"," 124124"," 23355"," 105069"," 91345"," 12135"," 19151"," 16351"," 2459"," 593"," 48777"," 153638"," 7.8"," 7.9"," 8.3"," 8.3"," 8.6"," 8.0"," 8.0"," 8.0"," 7.7"," 7.7"," 7.8"," 7.6"," 7.6"," 7.9"," 7.7"," 7.5"," 8.1"," 7.7"
"16","Captain America: The Winter Soldier (2014)",7.8,"552,706","Action","Adventure","Sci-Fi",70,"Budget:        $170,000,000              (estimated)","136 min",84943,103896,169440,120197,44124,14639,5571,2735,1932,5248," 360615"," 66751"," 3765"," 2900"," 844"," 208526"," 170111"," 36456"," 150264"," 129500"," 18637"," 28922"," 24313"," 4103"," 720"," 72120"," 213180"," 7.7"," 7.9"," 8.3"," 8.2"," 8.5"," 7.8"," 7.8"," 7.9"," 7.6"," 7.6"," 7.7"," 7.7"," 7.6"," 7.8"," 7.6"," 7.5"," 8.1"," 7.5"
"17","Captain Fantastic (2016)",7.9,"115,194","Comedy","Drama","",72,"Opening Weekend:         $93,824              (USA)      (8 July 2016)","",16165,24762,39686,22429,7134,2255,982,542,419,832," 71760"," 19138"," 447"," 329"," 112"," 40918"," 30740"," 9707"," 36357"," 29410"," 6414"," 8123"," 6521"," 1433"," 351"," 10694"," 56956"," 7.9"," 8.1"," 8.2"," 8.2"," 8.2"," 8.0"," 8.0"," 8.2"," 7.8"," 7.7"," 7.9"," 7.7"," 7.6"," 7.9"," 8.5"," 6.8"," 7.8"," 7.8"
"18","Captain Phillips (2013)",7.8,"350,818","Biography","Drama","Thriller",83,"Budget:        $55,000,000              (estimated)","134 min",37461,70216,133266,76657,21791,6099,2051,1062,707,1517," 247889"," 41602"," 995"," 838"," 147"," 131052"," 110723"," 19092"," 114418"," 98191"," 14686"," 24670"," 20178"," 4053"," 633"," 43042"," 165981"," 7.8"," 7.9"," 8.2"," 8.2"," 8.1"," 8.0"," 8.0"," 7.9"," 7.7"," 7.7"," 7.8"," 7.7"," 7.7"," 8.0"," 8.0"," 7.4"," 7.8"," 7.8"
"19","Creed (2015)",7.6,"179,795","Drama","Sport","",82,"Budget:        $35,000,000              (estimated)","133 min",21364,28964,58237,45563,16432,5118,1655,848,464,1151," 126214"," 13323"," 888"," 811"," 72"," 61826"," 55428"," 5778"," 56944"," 51344"," 4828"," 10691"," 9142"," 1369"," 474"," 25287"," 75302"," 7.6"," 7.5"," 8.3"," 8.3"," 8.1"," 7.8"," 7.8"," 7.6"," 7.4"," 7.4"," 7.4"," 7.3"," 7.3"," 7.5"," 7.8"," 7.1"," 7.9"," 7.5"
"20","Dallas Buyers Club (2013)",8,"357,641","Biography","Drama","",84,"Budget:        $5,000,000              (estimated)","117 min",37544,82276,145488,66156,16777,4582,1721,870,654,1588," 231258"," 63266"," 864"," 650"," 205"," 145018"," 110493"," 32974"," 110555"," 88233"," 20687"," 22093"," 16963"," 4743"," 598"," 42222"," 173002"," 7.9"," 8.1"," 8.2"," 8.2"," 8.1"," 8.1"," 8.1"," 8.1"," 7.8"," 7.8"," 8.0"," 7.8"," 7.8"," 8.0"," 7.9"," 7.2"," 8.0"," 7.9"
"21","Dawn of the Planet of the Apes (2014)",7.6,"349,646","Action","Adventure","Drama",79,"Budget:        $170,000,000              (estimated)","130 min",37605,58021,112652,84789,33747,11561,4734,2392,1470,2707," 250421"," 32032"," 1720"," 1468"," 236"," 128574"," 111856"," 15469"," 110394"," 98110"," 10765"," 21701"," 18794"," 2510"," 649"," 42877"," 154981"," 7.6"," 7.5"," 8.0"," 8.0"," 7.9"," 7.7"," 7.8"," 7.5"," 7.5"," 7.5"," 7.4"," 7.4"," 7.4"," 7.4"," 7.2"," 7.4"," 7.8"," 7.5"
"22","Deadpool (2016)",8,"652,127","Action","Adventure","Comedy",65,"Budget:        $58,000,000              (estimated)","108 min",147467,147966,170810,105717,41811,15510,7046,4273,3037,8538," 391955"," 79804"," 4598"," 3601"," 969"," 232840"," 186139"," 44316"," 159222"," 135428"," 21521"," 28753"," 24218"," 4009"," 667"," 67933"," 241138"," 8.0"," 8.1"," 8.4"," 8.4"," 8.6"," 8.1"," 8.1"," 8.1"," 7.9"," 7.9"," 7.9"," 7.8"," 7.8"," 7.9"," 8.0"," 7.3"," 8.1"," 7.9"
"23","Despicable Me (2010)",7.7,"417,592","Animation","Adventure","Comedy",72,"Opening Weekend:         $56,397,125              (USA)      (9 July 2010)","",56474,66298,136943,102534,35207,11448,4000,1862,1024,1825," 251408"," 91545"," 2241"," 1523"," 700"," 179397"," 122880"," 54800"," 123041"," 95843"," 25612"," 21471"," 16853"," 4293"," 721"," 57957"," 196751"," 7.6"," 8.0"," 7.7"," 7.6"," 7.9"," 7.8"," 7.7"," 8.1"," 7.6"," 7.5"," 7.9"," 7.6"," 7.5"," 7.9"," 7.4"," 7.0"," 7.6"," 7.6"
"24","Detachment (2011)",7.7,"62,352","Drama","","",NA,"Opening Weekend:         $10,739              (USA)      (16 March 2012)","",8602,11683,20411,13503,4740,1741,711,360,208,394," 40924"," 13291"," 77"," 38"," 36"," 25612"," 17887"," 7432"," 22857"," 18073"," 4435"," 4509"," 3601"," 816"," 297"," 6124"," 36753"," 7.7"," 7.9"," 7.9"," 7.6"," 8.1"," 7.9"," 7.9"," 8.0"," 7.6"," 7.6"," 7.7"," 7.5"," 7.5"," 7.7"," 6.7"," 6.5"," 7.5"," 7.7"
"25","Disconnect (2012)",7.6,"65,448","Drama","Thriller","",64,"Budget:        $10,000,000              (estimated)","115 min",6085,9374,22255,18117,6206,1830,684,292,197,411," 44411"," 12217"," 75"," 48"," 25"," 24661"," 18309"," 6083"," 24359"," 19571"," 4457"," 5324"," 4304"," 925"," 292"," 7004"," 36390"," 7.6"," 7.6"," 7.9"," 8.0"," 7.9"," 7.7"," 7.7"," 7.7"," 7.5"," 7.5"," 7.4"," 7.4"," 7.4"," 7.6"," 5.9"," 6.4"," 7.4"," 7.5"
"26","Django Unchained (2012)",8.4,"1,056,822","Drama","Western","",81,"Budget:        $100,000,000              (estimated)","165 min",234824,339329,286911,121445,38251,14227,6469,4149,3181,8065," 695211"," 139226"," 3250"," 2726"," 501"," 410538"," 332690"," 74006"," 301231"," 253253"," 43774"," 57463"," 47535"," 8962"," 816"," 123423"," 448126"," 8.4"," 8.4"," 8.8"," 8.9"," 8.5"," 8.6"," 8.6"," 8.5"," 8.3"," 8.3"," 8.3"," 8.0"," 8.0"," 8.1"," 8.0"," 7.8"," 8.4"," 8.4"
"27","Doctor Strange (2016)",7.6,"328,932","Action","Adventure","Fantasy",72,"Budget:        $165,000,000              (estimated)","115 min",38952,51465,102744,83322,32430,10744,3786,1854,1038,2667," 202386"," 42203"," 2526"," 1970"," 540"," 117060"," 93330"," 22484"," 87961"," 74305"," 12327"," 17122"," 14163"," 2629"," 545"," 36644"," 133095"," 7.5"," 7.8"," 8.0"," 8.0"," 8.3"," 7.6"," 7.6"," 7.8"," 7.4"," 7.4"," 7.7"," 7.5"," 7.4"," 7.8"," 7.7"," 7.1"," 7.6"," 7.4"
"28","Drive (2011)",7.8,"467,642","Crime","Drama","",78,"Budget:        $15,000,000              (estimated)","100 min",74421,96998,130187,82653,38557,17321,9132,5694,4114,8576," 336319"," 64201"," 862"," 711"," 143"," 183472"," 149002"," 32549"," 176080"," 148869"," 24691"," 27894"," 23441"," 3905"," 737"," 70338"," 247150"," 7.9"," 7.6"," 8.5"," 8.5"," 7.9"," 7.9"," 8.0"," 7.6"," 7.7"," 7.8"," 7.5"," 7.4"," 7.4"," 7.4"," 7.8"," 7.6"," 8.0"," 7.8"
"29","Edge of Tomorrow (2014)",7.9,"480,513","Action","Adventure","Sci-Fi",71,"Budget:        $178,000,000              (estimated)","113 min",60383,99596,175961,100724,28982,8145,2858,1368,857,1661," 341199"," 45790"," 1893"," 1584"," 292"," 172016"," 148814"," 21495"," 157476"," 138752"," 16463"," 30965"," 26562"," 3820"," 691"," 55486"," 217557"," 7.9"," 7.8"," 8.2"," 8.1"," 8.2"," 8.0"," 8.0"," 7.8"," 7.8"," 7.8"," 7.7"," 7.8"," 7.8"," 7.8"," 8.1"," 7.5"," 8.0"," 7.8"
"30","End of Watch (2012)",7.7,"194,675","Crime","Drama","Thriller",68,"Budget:        $7,000,000              (estimated)","109 min",20733,32267,68590,46486,15489,5370,2235,1186,805,1521," 147679"," 17678"," 261"," 235"," 22"," 70095"," 62195"," 7250"," 73097"," 64952"," 7265"," 13479"," 11530"," 1719"," 537"," 32761"," 94643"," 7.6"," 7.6"," 7.9"," 7.9"," 7.8"," 7.8"," 7.8"," 7.7"," 7.5"," 7.5"," 7.5"," 7.4"," 7.4"," 7.5"," 7.9"," 6.5"," 7.7"," 7.6"
"31","Ex Machina (2014)",7.7,"348,550","Drama","Mystery","Sci-Fi",78,"Budget:        $15,000,000              (estimated)","108 min",29780,64769,123938,82736,28662,9579,3806,1951,1165,2182," 237599"," 41160"," 1154"," 899"," 242"," 126754"," 103143"," 22173"," 113021"," 97929"," 13354"," 23940"," 20773"," 2697"," 611"," 42556"," 164526"," 7.8"," 7.5"," 8.0"," 8.1"," 7.8"," 7.9"," 7.9"," 7.6"," 7.6"," 7.6"," 7.4"," 7.6"," 7.6"," 7.4"," 8.2"," 7.5"," 7.9"," 7.7"
"32","Flipped (2010)",7.7,"66,461","Comedy","Drama","Romance",NA,"Budget:        $14,000,000              (estimated)","",11354,11050,20808,14372,5412,1848,664,321,230,402," 33714"," 22540"," 320"," 108"," 207"," 32475"," 16916"," 15217"," 18576"," 12982"," 5338"," 3399"," 2616"," 721"," 275"," 7362"," 36050"," 7.6"," 7.9"," 8.0"," 7.6"," 8.3"," 7.9"," 7.8"," 8.0"," 7.5"," 7.5"," 7.7"," 7.4"," 7.3"," 7.6"," 7.5"," 6.4"," 7.5"," 7.7"
"33","Fury (2014)",7.6,"337,571","Action","Drama","War",64,"Budget:        $68,000,000              (estimated)","134 min",36753,54703,111271,82505,30231,10553,4303,2388,1629,3246," 238800"," 30746"," 1234"," 1028"," 196"," 127986"," 110868"," 15886"," 99386"," 88611"," 9444"," 21524"," 18781"," 2392"," 548"," 35750"," 148301"," 7.6"," 7.6"," 8.0"," 8.0"," 8.3"," 7.7"," 7.7"," 7.7"," 7.4"," 7.4"," 7.4"," 7.4"," 7.4"," 7.4"," 7.2"," 6.8"," 7.6"," 7.5"
"34","Gone Girl (2014)",8.1,"649,474","Crime","Drama","Mystery",79,"Budget:        $61,000,000              (estimated)","149 min",89539,177373,218018,103600,32989,11691,5285,3262,2247,5500," 397571"," 113606"," 2286"," 1598"," 665"," 260425"," 193602"," 64291"," 179552"," 144771"," 32133"," 34696"," 27226"," 6840"," 689"," 70667"," 280587"," 8.1"," 8.1"," 8.5"," 8.6"," 8.4"," 8.3"," 8.3"," 8.2"," 7.9"," 8.0"," 7.9"," 7.7"," 7.7"," 7.7"," 8.2"," 7.6"," 8.1"," 8.1"
"35","Gravity (2013)",7.8,"630,890","Drama","Sci-Fi","Thriller",96,"Budget:        $100,000,000              (estimated)","91 min",89986,127616,169693,122275,57564,25393,12286,7868,5751,12473," 427135"," 87618"," 2173"," 1684"," 468"," 233044"," 186837"," 43833"," 203844"," 171281"," 29467"," 44088"," 36531"," 6764"," 771"," 76797"," 292714"," 7.8"," 7.5"," 7.5"," 7.6"," 7.4"," 7.8"," 7.9"," 7.5"," 7.8"," 7.8"," 7.5"," 7.7"," 7.7"," 7.5"," 8.4"," 7.5"," 7.9"," 7.8"
"36","Guardians of the Galaxy (2014)",8.1,"778,220","Action","Adventure","Sci-Fi",76,"Budget:        $170,000,000              (estimated)","121 min",156606,185326,216876,127878,49009,18501,8326,4772,3243,7714," 491689"," 101957"," 5154"," 3949"," 1170"," 288707"," 231018"," 54884"," 207895"," 176032"," 28924"," 42006"," 34512"," 6802"," 774"," 97905"," 296439"," 8.0"," 8.1"," 8.4"," 8.4"," 8.5"," 8.1"," 8.1"," 8.1"," 7.9"," 7.9"," 8.0"," 7.9"," 7.9"," 8.0"," 8.3"," 7.6"," 8.3"," 7.9"
"37","Hacksaw Ridge (2016)",8.2,"244,314","Biography","Drama","History",71,"Budget:        $40,000,000              (estimated)","139 min",54165,66161,69445,34213,11126,4297,1857,939,639,1541," 156398"," 26285"," 1929"," 1566"," 355"," 89668"," 75012"," 13856"," 61304"," 53275"," 7211"," 14352"," 12020"," 2088"," 465"," 26686"," 100119"," 8.1"," 8.3"," 8.7"," 8.7"," 8.9"," 8.3"," 8.3"," 8.4"," 7.9"," 7.9"," 8.1"," 8.1"," 8.0"," 8.4"," 8.2"," 7.8"," 8.2"," 8.0"
"38","Harry Potter and the Deathly Hallows: Part 1 (2010)",7.7,"363,226","Adventure","Family","Fantasy",65,"Budget:        £150,000,000              (estimated)","146 min",68937,54947,102488,80465,31205,11792,4808,2454,1617,4522," 223868"," 79506"," 1967"," 1310"," 638"," 178871"," 126052"," 51112"," 94328"," 73103"," 20145"," 18077"," 14073"," 3750"," 734"," 56139"," 180885"," 7.5"," 8.2"," 8.1"," 7.9"," 8.6"," 7.9"," 7.7"," 8.3"," 7.4"," 7.3"," 8.1"," 7.4"," 7.3"," 8.0"," 8.0"," 6.7"," 7.9"," 7.5"
"39","Hell or High Water (2016)",7.7,"125,026","Crime","Drama","Thriller",88,"Budget:        $12,000,000              (estimated)","102 min",8445,19789,45260,35212,11130,3102,932,475,233,471," 88398"," 10427"," 564"," 519"," 43"," 41898"," 37112"," 4370"," 40564"," 36251"," 3817"," 10696"," 9091"," 1425"," 403"," 18746"," 57907"," 7.7"," 7.4"," 8.1"," 8.1"," 7.7"," 7.7"," 7.8"," 7.4"," 7.5"," 7.6"," 7.4"," 7.6"," 7.6"," 7.7"," 8.0"," 7.3"," 7.9"," 7.5"
"40","Her (2013)",8,"398,431","Drama","Romance","Sci-Fi",90,"Budget:        $23,000,000              (estimated)","126 min",61098,95920,117761,67804,27718,11647,5673,3517,2464,4841," 252724"," 72611"," 1193"," 851"," 330"," 167097"," 123183"," 42078"," 119227"," 95815"," 21544"," 21741"," 17515"," 3770"," 612"," 48466"," 188937"," 8.0"," 7.8"," 8.5"," 8.6"," 8.0"," 8.2"," 8.2"," 7.9"," 7.8"," 7.8"," 7.6"," 7.4"," 7.4"," 7.0"," 7.7"," 7.3"," 8.1"," 7.9"
"41","Hidden Figures (2016)",7.8,"111,357","Biography","Drama","History",74,"Budget:        $25,000,000              (estimated)","127 min",17102,21245,39272,23277,6287,1812,685,296,292,1111," 58466"," 26503"," 671"," 410"," 251"," 35076"," 22114"," 12543"," 32331"," 23539"," 8288"," 11025"," 7969"," 2848"," 347"," 17182"," 45276"," 7.7"," 8.3"," 8.0"," 7.7"," 8.6"," 7.8"," 7.7"," 8.3"," 7.7"," 7.6"," 8.1"," 8.0"," 7.9"," 8.5"," 8.4"," 6.9"," 7.9"," 7.7"
"42","How to Train Your Dragon 2 (2014)",7.9,"240,983","Animation","Action","Adventure",76,"Opening Weekend:         $49,451,322              (USA)      (13 June 2014)","",42636,45890,74727,49766,17632,5547,1936,897,586,1373," 147074"," 45334"," 1714"," 1158"," 544"," 106062"," 77742"," 27287"," 61623"," 49351"," 11407"," 10008"," 7813"," 2009"," 487"," 27102"," 103921"," 7.8"," 8.1"," 8.1"," 7.9"," 8.4"," 8.0"," 7.9"," 8.2"," 7.6"," 7.5"," 7.9"," 7.6"," 7.5"," 7.9"," 7.5"," 7.2"," 7.8"," 7.7"
"43","How to Train Your Dragon (2010)",8.1,"532,296","Animation","Action","Adventure",74,"Opening Weekend:         $43,732,319              (USA)      (26 March 2010)","",103844,127521,167836,89478,26766,8277,2953,1535,1007,3091," 327837"," 105104"," 2783"," 1940"," 824"," 232014"," 167259"," 62711"," 151469"," 120140"," 29483"," 26139"," 20418"," 5320"," 744"," 73637"," 244365"," 8.1"," 8.4"," 8.0"," 7.9"," 8.3"," 8.3"," 8.2"," 8.5"," 8.0"," 8.0"," 8.4"," 7.9"," 7.9"," 8.2"," 8.0"," 7.4"," 8.1"," 8.1"
"44","Hugo (2011)",7.5,"261,953","Adventure","Drama","Family",83,"Budget:        $150,000,000              (estimated)","126 min",29228,40728,77893,62936,27932,11179,4664,2674,1700,3023," 179655"," 47795"," 884"," 616"," 250"," 105814"," 79064"," 25620"," 93126"," 76098"," 15694"," 22136"," 17667"," 4065"," 669"," 39127"," 142850"," 7.5"," 7.6"," 7.8"," 7.8"," 7.6"," 7.7"," 7.7"," 7.7"," 7.4"," 7.4"," 7.4"," 7.5"," 7.5"," 7.6"," 7.4"," 7.4"," 7.7"," 7.5"
"45","Hunt for the Wilderpeople (2016)",7.9,"56,964","Adventure","Comedy","Drama",81,"Opening Weekend:         $77,298              (USA)      (24 June 2016)","",7503,12086,19930,11626,3709,1084,404,224,150,259," 37495"," 7737"," 306"," 246"," 57"," 19647"," 15808"," 3598"," 18839"," 15838"," 2750"," 4345"," 3501"," 754"," 240"," 6165"," 28979"," 7.8"," 8.2"," 8.2"," 8.2"," 8.6"," 8.0"," 7.9"," 8.2"," 7.8"," 7.7"," 8.1"," 7.7"," 7.6"," 8.2"," 8.0"," 7.1"," 8.0"," 7.8"
"46","I, Daniel Blake (2016)",7.9,"28,350","Drama","","",78,"Opening Weekend:         $18,682              (USA)      (2 June 2017)","",3576,5803,9651,5309,1668,550,226,131,91,1355," 18739"," 4275"," 101"," 81"," 20"," 8913"," 7022"," 1792"," 9567"," 7794"," 1628"," 3313"," 2732"," 535"," 180"," 1443"," 16641"," 7.8"," 8.1"," 7.8"," 7.7"," 8.2"," 7.9"," 7.9"," 8.1"," 7.8"," 7.8"," 8.1"," 8.0"," 8.0"," 8.2"," 9.1"," 6.9"," 7.6"," 7.9"
"47","Inception (2010)",8.8,"1,609,713","Action","Adventure","Sci-Fi",74,"Budget:        $160,000,000              (estimated)","148 min",584839,485218,304457,130972,46393,20595,10050,6631,5243,15365," 1044318"," 239796"," 5678"," 4462"," 1184"," 655187"," 512411"," 136770"," 472680"," 392845"," 73555"," 79634"," 65508"," 12795"," 885"," 212524"," 707266"," 8.8"," 8.7"," 9.1"," 9.1"," 9.0"," 9.0"," 9.0"," 8.8"," 8.7"," 8.7"," 8.5"," 8.1"," 8.1"," 8.0"," 8.6"," 8.2"," 8.7"," 8.8"
"48","Inside Out (2015)",8.2,"430,229","Animation","Adventure","Comedy",94,"Budget:        $175,000,000              (estimated)","95 min",87509,113244,119801,67153,24210,8542,3349,1872,1123,3450," 244433"," 79081"," 3361"," 2294"," 1040"," 170056"," 121574"," 46685"," 108560"," 86312"," 20516"," 18694"," 14910"," 3416"," 587"," 48297"," 176446"," 8.2"," 8.2"," 8.4"," 8.4"," 8.3"," 8.3"," 8.3"," 8.3"," 8.1"," 8.1"," 8.1"," 7.9"," 7.9"," 7.9"," 8.6"," 7.6"," 8.2"," 8.1"
